id,name,category,state,city,qrImage,qrContent,supportedPayment,coords
636,Masjid As-Syakirin Kota Bharu,mosque,KELANTAN,Kota Bharu,,"00020201021126610014A000000615000101065641670215QRMID0000005130031001392716165204566153034585802MY5918MASJID AS-SYAKIRIN6010KOTA BHARU6105153506304F43A",duitnow,"6.193148,102.268606"
637,Masjid Bandar Cassia,mosque,PULAU PINANG,Simpang Ampat,,"00020201021126580014A000000615000101065887340212MBBQR1871881031000000000005204000053034585802MY5920MASJID BANDAR CASSIA6012PULAU PINANG63043D91",duitnow,"5.283528,100.4768579"
638,Masjid Nur Iman,mosque,TERENGGANU,Kuala Terengganu,,"00020201021126420014A000000615000101066033460210MD001153425204866153034585802MY5915Masjid Nur Iman6002MY627303251687416234042001143245388052016874162764980055692071616874156817180086304C3DF",duitnow,"5.3721098,103.0505411"
639,Surau Al Wardah,surau,SELANGOR,Sepang,,"00020201021126420014A000000615000101066033460210MD001214235204866153034585802MY5925SURAU AL-WARDAH TMN MAWAR6002MY62730325169156911539000100132715305201710123626436001388607161691567899910004630404F1",duitnow,"2.8300711,101.7385363"
640,Masjid Seberang Perai Selatan,mosque,PULAU PINANG,Seberang Perai,,"00020201021126520014A000000615000101068900530220MDN161846734206151865204866153034585802MY5925MASJIDDAERAHSEBERANGPERAI6010SUNGAIJAWI630424AE",duitnow,"5.1960033,100.4910867"
641,Masjid Taman Pulai Indah,mosque,JOHOR,Johor Bharu,,"00020201021126580014A000000615000101065887340212MBBQR1510009031000000000005204000053034585802MY5925MASJID TAMAN PULAI INDAH 6005JOHOR63040B81",duitnow,"1.5411903,103.5815121"
642,Masjid Datuk Amar Abdul Taib Mahmud Baru,mosque,SARAWAK,Samarahan,,"00020201021126420014A000000615000101066033460210MD001300035204866153034585802MY5925MASJID DATUK AMAR HJ ABD 6002MY627303251706600566424001722475393052017066006139700010489071617066001233040056304580D",duitnow,"5.9685402,116.0714949"
643,Masjid Lestari Putra,mosque,SELANGOR,Seri Kembangan,,"00020101021126580014A000000615000101065887340212MBBQR125821103100000000000520400005303458540500.005802MY5920MASJID LESTARI PUTRA6008SELANGOR630496E4",duitnow,"3.0013537,101.668207"
644,Surau Al-Hidayah Vista Angkasa,surau,KUALA LUMPUR,Kerinchi,,"00020201021126420014A000000615000101066033460210MD001304805204866153034585802MY5916SURAU AL-HIDAYAH6002MY62730325170841797916800480396581705201708418058465009369907161708417427619001630479FD",duitnow,"3.1127807,101.6626533"
645,Surau Al-Amin Pekan,surau,PAHANG,Pekan,,"00020201021126580014A000000615000101065887340212MBBQR1978245031000000000005204000053034585802MY5911SURAUALAMIN6006PAHANG63043DAB",duitnow,"3.538981,103.351892"
646,Surau Raudhatul Sakinah,surau,PULAU PINANG,Nibong Tebal,,"00020201021126580014A000000615000101065887340212MBBQR2086610031000000000005204829953034585802MY5924SURAU RAUDHATUL SAKINAH 6012PULAU PINANG630469A9",duitnow,"5.140845,100.4790949"
647,Masjid Al-Hidayah,mosque,SELANGOR,Klang,,"00020201021126420014A000000615000101066033460210MD000046705204866153034585802MY5917MASJID AL-HIDAYAH6002MY625303251637042816865004692790918052016370428423590097823630413AA",duitnow,"2.9647045,101.4765097"
